"State","variable","value"
1,"Response",0.0526762956669499
2,"Response",0.116140051238258
5,"Response",0.096722621902478
4,"Response",0.0998322147651007
6,"Response",0.0888501742160279
8,"Response",0.102857142857143
9,"Response",0.114285714285714
11,"Response",0.166344294003868
10,"Response",0.130327868852459
12,"Response",0.0914479254868755
13,"Response",0.116455696202532
15,"Response",0.12241653418124
19,"Response",0.0675569520816968
16,"Response",0.083739837398374
17,"Response",0.10310021629416
18,"Response",0.117408906882591
20,"Response",0.105723370429253
21,"Response",0.112757201646091
22,"Response",0.0944170771756979
25,"Response",0.115602263540825
24,"Response",0.114985163204748
23,"Response",0.0948678071539658
26,"Response",0.110655737704918
27,"Response",0.0775646371976647
29,"Response",0.104453441295547
28,"Response",0.0925
30,"Response",0.0836038961038961
37,"Response",0.096551724137931
38,"Response",0.0884070058381985
31,"Response",0.0789259560618389
33,"Response",0.106686701728024
34,"Response",0.104253544620517
35,"Response",0.121835443037975
32,"Response",0.0916463909164639
36,"Response",0.112269446672013
39,"Response",0.0959438377535101
40,"Response",0.138986013986014
41,"Response",0.0959016393442623
42,"Response",0.128606760098928
44,"Response",0.112540192926045
45,"Response",0.0982704402515723
46,"Response",0.0770562770562771
47,"Response",0.117109634551495
48,"Response",0.0983125458547322
49,"Response",0.0714285714285714
51,"Response",0.0908333333333333
50,"Response",0.102817974105103
53,"Response",0.0711297071129707
55,"Response",0.0937996820349762
54,"Response",0.11340206185567
56,"Response",0.0787728026533997
1,"Predicted",0.0983417957543063
2,"Predicted",0.109308795975831
5,"Predicted",0.103514578497592
4,"Predicted",0.0942662765956997
6,"Predicted",0.0957795913389227
8,"Predicted",0.0899265569700815
9,"Predicted",0.0948882843180256
11,"Predicted",0.139210777071404
10,"Predicted",0.102019406504546
12,"Predicted",0.0967140837003516
13,"Predicted",0.105320125277631
15,"Predicted",0.0973781470936476
19,"Predicted",0.0874754963884159
16,"Predicted",0.0876404912819252
17,"Predicted",0.100537808890023
18,"Predicted",0.0944305388334601
20,"Predicted",0.0883922268028023
21,"Predicted",0.0952584898118371
22,"Predicted",0.113883404411713
25,"Predicted",0.0924094822875007
24,"Predicted",0.113757872022582
23,"Predicted",0.0908546138994951
26,"Predicted",0.101263563653564
27,"Predicted",0.0869683401721915
29,"Predicted",0.0940928215211176
28,"Predicted",0.119318091923169
30,"Predicted",0.0921566944887218
37,"Predicted",0.105857160497344
38,"Predicted",0.0817546546320644
31,"Predicted",0.0870241231197248
33,"Predicted",0.0872847870404996
34,"Predicted",0.0960349816380214
35,"Predicted",0.0972718710441837
32,"Predicted",0.0937160679317704
36,"Predicted",0.103094198569698
39,"Predicted",0.0958805469620007
40,"Predicted",0.102778640359023
41,"Predicted",0.0924068074666989
42,"Predicted",0.0980241169694057
44,"Predicted",0.0927174215860511
45,"Predicted",0.106744274402152
46,"Predicted",0.0839645544144424
47,"Predicted",0.0978943188522365
48,"Predicted",0.0938410677756411
49,"Predicted",0.0859483870582455
51,"Predicted",0.0953483972349073
50,"Predicted",0.0921639206419876
53,"Predicted",0.0925596128701326
55,"Predicted",0.0942786704790301
54,"Predicted",0.100501528206439
56,"Predicted",0.0905360696736087
1,"Difference",0.0456655000873564
2,"Difference",0.00683125526242642
5,"Difference",0.00679195659511383
4,"Difference",0.00556593816940097
6,"Difference",0.00692941712289478
8,"Difference",0.0129305858870613
9,"Difference",0.0193974299676887
11,"Difference",0.0271335169324649
10,"Difference",0.0283084623479134
12,"Difference",0.00526615821347605
13,"Difference",0.0111355709249005
15,"Difference",0.0250383870875924
19,"Difference",0.0199185443067191
16,"Difference",0.00390065388355117
17,"Difference",0.00256240740413684
18,"Difference",0.022978368049131
20,"Difference",0.0173311436264505
21,"Difference",0.0174987118342534
22,"Difference",0.0194663272360153
25,"Difference",0.0231927812533238
24,"Difference",0.00122729118216568
23,"Difference",0.00401319325447069
26,"Difference",0.00939217405135387
27,"Difference",0.00940370297452676
29,"Difference",0.010360619774429
28,"Difference",0.0268180919231688
30,"Difference",0.0085527983848257
37,"Difference",0.00930543635941303
38,"Difference",0.00665235120613414
31,"Difference",0.00809816705788589
33,"Difference",0.0194019146875245
34,"Difference",0.00821856298249567
35,"Difference",0.024563571993791
32,"Difference",0.00206967701530644
36,"Difference",0.00917524810231471
39,"Difference",6.32907915094905e-05
40,"Difference",0.036207373626991
41,"Difference",0.00349483187756343
42,"Difference",0.0305826431295226
44,"Difference",0.0198227713399939
45,"Difference",0.00847383415057927
46,"Difference",0.00690827735816535
47,"Difference",0.0192153156992586
48,"Difference",0.0044714780790911
49,"Difference",0.0145198156296741
51,"Difference",0.00451506390157393
50,"Difference",0.0106540534631152
53,"Difference",0.0214299057571619
55,"Difference",0.000478988444053974
54,"Difference",0.0129005336492309
56,"Difference",0.011763267020209
